시도,군구,관광지,구분,내/외국인,총계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,위도 ,경도,위치,region
제주특별자치도,제주시,도립미술관,유료,내국인,109270,8052,6950,5179,7312,10838,7106,11044,10962,9690,11248,11751,9138,33.4526324,126.4896073,제주시,7
제주특별자치도,제주시,도립미술관,유료,외국인,3148,122,193,212,202,211,252,326,407,259,408,396,160,33.4526324,126.4896073,제주시,7
제주특별자치도,제주시,도립미술관,유료,합계,112418,8174,7143,5391,7514,11049,7358,11370,11369,9949,11656,12147,9298,33.4526324,126.4896073,제주시,7
제주특별자치도,제주시,만장굴관광지,유료,내국인,704648,50108,49956,34592,52066,57300,50111,86093,122394,62659,59726,40506,39137,33.528486,126.771481,구좌읍,1
제주특별자치도,제주시,만장굴관광지,유료,외국인,85160,1761,2773,7107,8845,10495,8445,8188,6939,8500,9529,6617,5961,33.528486,126.771481,구좌읍,1
제주특별자치도,제주시,만장굴관광지,유료,합계,789808,51869,52729,41699,60911,67795,58556,94281,129333,71159,69255,47123,45098,33.528486,126.771481,구좌읍,1
제주특별자치도,제주시,민속자연사박물관,유료,내국인,345149,25213,21375,28920,49446,45789,27947,18385,22449,27387,41039,21614,15585,33.5064851,126.531615,제주시,7
제주특별자치도,제주시,민속자연사박물관,유료,외국인,531025,36313,39938,58611,48605,56506,59470,44230,55505,39425,37188,24949,30285,33.5064851,126.531615,제주시,7
제주특별자치도,제주시,민속자연사박물관,유료,합계,876174,61526,61313,87531,98051,102295,87417,62615,77954,66812,78227,46563,45870,33.5064851,126.531615,제주시,7
제주특별자치도,제주시,비자림,유료,내국인,805658,43328,46952,54813,78543,89744,73435,75068,81659,71191,82630,64359,43936,33.4844442,126.8064928,구좌읍,1
제주특별자치도,제주시,비자림,유료,외국인,2345,127,92,110,77,224,354,305,183,230,335,172,136,33.4844442,126.8064928,구좌읍,1
제주특별자치도,제주시,비자림,유료,합계,808003,43455,47044,54923,78620,89968,73789,75373,81842,71421,82965,64531,44072,33.4844442,126.8064928,구좌읍,1
제주특별자치도,제주시,삼양선사유적지,유료,내국인,41728,3029,2792,2675,5680,3606,3606,2992,1761,3108,4070,4811,3598,33.523123,126.5878316,제주시,7
제주특별자치도,제주시,삼양선사유적지,유료,외국인,1589,118,91,135,304,168,168,168,22,35,51,262,67,33.523123,126.5878316,제주시,7
제주특별자치도,제주시,삼양선사유적지,유료,합계,43317,3147,2883,2810,5984,3774,3774,3160,1783,3143,4121,5073,3665,33.523123,126.5878316,제주시,7
제주특별자치도,제주시,절물자연휴양림,유료,내국인,754778,28069,30365,51124,69404,78133,67683,76378,101936,75010,78720,63227,34729,33.436967,126.6281631,제주시,7
제주특별자치도,제주시,절물자연휴양림,유료,외국인,0,0,0,0,0,0,0,0,0,0,0,0,0,33.436967,126.6281631,제주시,7
제주특별자치도,제주시,절물자연휴양림,유료,합계,754778,28069,30365,51124,69404,78133,67683,76378,101936,75010,78720,63227,34729,33.436967,126.6281631,제주시,7
제주특별자치도,제주시,제주돌문화공원,유료,내국인,219594,11922,9554,11740,22475,43721,15652,11207,27290,17518,21376,16045,11094,33.4485772,126.6586322,조천읍,8
제주특별자치도,제주시,제주돌문화공원,유료,외국인,10642,160,185,899,855,1688,1027,1015,1733,815,1213,598,454,33.4485772,126.6586322,조천읍,8
제주특별자치도,제주시,제주돌문화공원,유료,합계,230236,12082,9739,12639,23330,45409,16679,12222,29023,18333,22589,16643,11548,33.4485772,126.6586322,조천읍,8
제주특별자치도,제주시,제주목관아지,유료,내국인,167641,5124,12344,6847,13989,18257,13825,15688,17865,15998,18992,14389,14323,33.513623,126.5220324,제주시,7
제주특별자치도,제주시,제주목관아지,유료,외국인,15749,550,1513,1080,1104,1923,1054,1363,1249,2095,2033,1093,692,33.513623,126.5220324,제주시,7
제주특별자치도,제주시,제주목관아지,유료,합계,183390,5674,13857,7927,15093,20180,14879,17051,19114,18093,21025,15482,15015,33.513623,126.5220324,제주시,7
제주특별자치도,제주시,제주별빛누리공원,유료,내국인,95196,5685,5625,6028,4820,9564,6029,9806,16358,8000,7595,8316,7370,33.4445482,126.5492536,제주시,7
제주특별자치도,제주시,제주별빛누리공원,유료,외국인,247,4,10,14,23,36,30,31,25,16,13,9,36,33.4445482,126.5492536,제주시,7
제주특별자치도,제주시,제주별빛누리공원,유료,합계,95443,5689,5635,6042,4843,9600,6059,9837,16383,8016,7608,8325,7406,33.4445482,126.5492536,제주시,7
제주특별자치도,제주시,제주항일기념관,유료,내국인,151388,9626,13201,11091,15586,15324,14598,14927,13997,11174,13918,10403,7543,33.5415939,126.6429649,조천읍,8
제주특별자치도,제주시,제주항일기념관,유료,외국인,393,7,4,37,51,60,33,47,38,37,48,12,19,33.5415939,126.6429649,조천읍,8
제주특별자치도,제주시,제주항일기념관,유료,합계,151781,9633,13205,11128,15637,15384,14631,14974,14035,11211,13966,10415,7562,33.5415939,126.6429649,조천읍,8
제주특별자치도,제주시,항목유적지,유료,내국인,69324,2339,2099,4223,5181,9227,7885,7628,5492,8786,8272,5338,2854,33.4523506,126.4077944,애월읍,6
제주특별자치도,제주시,항목유적지,유료,외국인,573,17,27,21,57,63,60,68,34,69,52,53,52,33.4523506,126.4077944,애월읍,6
제주특별자치도,제주시,항목유적지,유료,합계,69897,2356,2126,4244,5238,9290,7945,7696,5526,8855,8324,5391,2906,33.4523506,126.4077944,애월읍,6
제주특별자치도,제주시,해녀 박물관,유료,내국인,146495,10173,7960,7310,12047,11762,10307,12034,12739,30106,12939,8929,10189,33.5235234,126.8634848,구좌읍,1
제주특별자치도,제주시,해녀 박물관,유료,외국인,16573,304,361,1398,1629,1745,1636,1621,1617,2526,2181,699,856,33.5235234,126.8634848,구좌읍,1
제주특별자치도,제주시,해녀 박물관,유료,합계,163068,10477,8321,8708,13676,13507,11943,13655,14356,32632,15120,9628,11045,33.5235234,126.8634848,구좌읍,1
제주특별자치도,제주시,국립제주박물관,무료,내국인,273663,20275,15964,19234,38780,43177,17031,20248,24473,23098,22783,14624,13976,33.513997,126.54897,제주시,7
제주특별자치도,제주시,국립제주박물관,무료,외국인,32806,1765,2544,1446,4947,5113,2658,2647,2157,2940,514,4072,2003,33.513997,126.54897,제주시,7
제주특별자치도,제주시,국립제주박물관,무료,합계,306469,22040,18508,20680,43727,48290,19689,22895,26630,26038,23297,18696,15979,33.513997,126.54897,제주시,7
제주특별자치도,제주시,한라산국립공원,무료,내국인,859410,110676,81192,62151,65784,87270,63040,46377,57055,54815,84357,78350,68343,33.3616666,126.5291666,제주시,7
제주특별자치도,제주시,한라산국립공원,무료,외국인,206488,15348,21189,21334,16544,16237,17805,16548,17981,17011,20702,13943,11846,33.3616666,126.5291666,제주시,7
제주특별자치도,제주시,한라산국립공원,무료,합계,1065898,126024,102381,83485,82328,103507,80845,62925,75036,71826,105059,92293,80189,33.3616666,126.5291666,제주시,7
제주특별자치도,서귀포시,감귤박물관,유료,내국인,88023,6641,7469,4644,6301,7905,6245,6837,9651,7753,8555,7568,8454,33.2712915,126.6070855,서귀포시,3
제주특별자치도,서귀포시,감귤박물관,유료,외국인,1543,75,106,28,44,124,86,109,331,127,161,137,215,33.2712915,126.6070855,서귀포시,3
제주특별자치도,서귀포시,감귤박물관,유료,합계,89566,6716,7575,4672,6345,8029,6331,6946,9982,7880,8716,7705,8669,33.2712915,126.6070855,서귀포시,3
제주특별자치도,서귀포시,기당미술관,유료,내국인,10376,1066,1078,538,887,924,815,793,830,677,914,815,1039,33.2448215,126.5512301,서귀포시,3
제주특별자치도,서귀포시,기당미술관,유료,외국인,299,11,4,7,20,3,7,8,26,179,7,2,25,33.2448215,126.5512301,서귀포시,3
제주특별자치도,서귀포시,기당미술관,유료,합계,10675,1077,1082,545,907,927,822,801,856,856,921,817,1064,33.2448215,126.5512301,서귀포시,3
제주특별자치도,서귀포시,마라해양도립공원,유료,내국인,461563,32139,27367,40462,56429,49659,36113,34918,45339,35623,38228,40425,24861,33.1179613,126.2678736,대정읍,2
제주특별자치도,서귀포시,마라해양도립공원,유료,외국인,0,0,0,0,0,0,0,0,0,0,0,0,0,33.1179613,126.2678736,대정읍,2
제주특별자치도,서귀포시,마라해양도립공원,유료,합계,461563,32139,27367,40462,56429,49659,36113,34918,45339,35623,38228,40425,24861,33.1179613,126.2678736,대정읍,2
제주특별자치도,서귀포시,산방산,유료,내국인,506775,44262,44728,55671,58276,73669,43326,28209,30049,25504,39157,32683,31241,33.2410682,126.3134467,안덕면,5
제주특별자치도,서귀포시,산방산,유료,외국인,7696,142,338,710,734,612,642,552,737,1004,1159,628,438,33.2410682,126.3134467,안덕면,5
제주특별자치도,서귀포시,산방산,유료,합계,514471,44404,45066,56381,59010,74281,43968,28761,30786,26508,40316,33311,31679,33.2410682,126.3134467,안덕면,5
제주특별자치도,서귀포시,서귀포도립해양공원,유료,내국인,209301,13235,14386,16528,22552,20055,16959,17612,24280,17313,20381,16556,9444,33.1179613,126.2678736,대정읍,2
제주특별자치도,서귀포시,서귀포도립해양공원,유료,외국인,0,0,0,0,0,0,0,0,0,0,0,0,0,33.1179613,126.2678736,대정읍,2
제주특별자치도,서귀포시,서귀포도립해양공원,유료,합계,209301,13235,14386,16528,22552,20055,16959,17612,24280,17313,20381,16556,9444,33.1179613,126.2678736,대정읍,2
제주특별자치도,서귀포시,서귀포자연휴양림,유료,내국인,144581,4345,5217,6288,9253,13432,11638,21280,32922,11830,11134,11004,6238,33.3113401,126.4602649,서귀포시,3
제주특별자치도,서귀포시,서귀포자연휴양림,유료,외국인,208,7,3,16,0,7,0,35,39,33,36,30,2,33.3113401,126.4602649,서귀포시,3
제주특별자치도,서귀포시,서귀포자연휴양림,유료,합계,144789,4352,5220,6304,9253,13439,11638,21315,32961,11863,11170,11034,6240,33.3113401,126.4602649,서귀포시,3
제주특별자치도,서귀포시,서복전시관,유료,내국인,51728,5175,4838,4854,5221,6117,5396,4099,2788,3287,3806,3298,2849,33.2448496,126.5709228,서귀포시,3
제주특별자치도,서귀포시,서복전시관,유료,외국인,3098,42,77,82,112,113,263,434,409,399,744,234,189,33.2448496,126.5709228,서귀포시,3
제주특별자치도,서귀포시,서복전시관,유료,합계,54826,5217,4915,4936,5333,6230,5659,4533,3197,3686,4550,3532,3038,33.2448496,126.5709228,서귀포시,3
제주특별자치도,서귀포시,성산일출봉,유료,내국인,1767374,132209,131882,145758,193016,211106,146714,126041,129298,134625,173600,124724,118401,33.458056,126.9425,성산읍,4
제주특별자치도,서귀포시,성산일출봉,유료,외국인,1402539,73030,97524,105444,134215,129010,139949,188401,151387,105831,118873,74139,84736,33.458056,126.9425,성산읍,4
제주특별자치도,서귀포시,성산일출봉,유료,합계,3169913,205239,229406,251202,327231,340116,286663,314442,280685,240456,292473,198863,203137,33.458056,126.9425,성산읍,4
제주특별자치도,서귀포시,이중섭미술관,유료,내국인,268958,23624,19727,15311,20136,26197,19843,28691,30193,20536,24946,18400,21354,33.2458494,126.5649511,서귀포시,3
제주특별자치도,서귀포시,이중섭미술관,유료,외국인,2026,15,14,56,107,313,372,263,312,244,177,99,54,33.2458494,126.5649511,서귀포시,3
제주특별자치도,서귀포시,이중섭미술관,유료,합계,270984,23639,19741,15367,20243,26510,20215,28954,30505,20780,25123,18499,21408,33.2458494,126.5649511,서귀포시,3
제주특별자치도,서귀포시,일출랜드,유료,내국인,319939,18697,15799,34331,48092,41774,27153,15008,20971,21742,34710,26672,14990,33.3835243,126.8413634,성산읍,4
제주특별자치도,서귀포시,일출랜드,유료,외국인,43067,3776,2941,2710,4420,5943,4012,3451,4270,3216,3216,2384,2728,33.3835243,126.8413634,성산읍,4
제주특별자치도,서귀포시,일출랜드,유료,합계,363006,22473,18740,37041,52512,47717,31165,18459,25241,24958,37926,29056,17718,33.3835243,126.8413634,성산읍,4
제주특별자치도,서귀포시,정방폭포,유료,내국인,1037168,70735,71975,79371,99518,119060,93723,102420,115452,84639,90831,59652,49792,33.2448521,126.5718032,서귀포시,3
제주특별자치도,서귀포시,정방폭포,유료,외국인,32103,1277,1253,1759,2265,2395,3017,3957,4397,3484,4154,2418,1727,33.2448521,126.5718032,서귀포시,3
제주특별자치도,서귀포시,정방폭포,유료,합계,1069271,72012,73228,81130,101783,121455,96740,106377,119849,88123,94985,62070,51519,33.2448521,126.5718032,서귀포시,3
제주특별자치도,서귀포시,제주추사관,유료,내국인,69234,5601,6411,5780,8488,8009,4959,4500,3818,3551,7077,6585,4455,33.2502212,126.2783818,대정읍,2
제주특별자치도,서귀포시,제주추사관,유료,외국인,75,0,4,3,3,0,27,13,2,0,15,5,3,33.2502212,126.2783818,대정읍,2
제주특별자치도,서귀포시,제주추사관,유료,합계,69309,5601,6415,5783,8491,8009,4986,4513,3820,3551,7092,6590,4458,33.2502212,126.2783818,대정읍,2
제주특별자치도,서귀포시,중문대포해안주상절리대,유료,내국인,1457992,96449,96641,120646,160322,175788,125823,103242,115535,121335,154270,105419,82522,33.2377549,126.4250671,서귀포시,3
제주특별자치도,서귀포시,중문대포해안주상절리대,유료,외국인,250308,17633,21070,19460,21869,22317,26119,30063,25130,21511,21017,12235,11884,33.2377549,126.4250671,서귀포시,3
제주특별자치도,서귀포시,중문대포해안주상절리대,유료,합계,1708300,114082,117711,140106,182191,198105,151942,133305,140665,142846,175287,117654,94406,33.2377549,126.4250671,서귀포시,3
제주특별자치도,서귀포시,천제연폭포,유료,내국인,661719,42516,43627,54656,74667,74277,62780,61889,66293,55310,55561,38317,31826,33.2526783,126.4184383,서귀포시,3
제주특별자치도,서귀포시,천제연폭포,유료,외국인,102809,3957,5823,6167,8131,8793,9833,13492,13451,9140,11132,6519,6371,33.2526783,126.4184383,서귀포시,3
제주특별자치도,서귀포시,천제연폭포,유료,합계,764528,46473,49450,60823,82798,83070,72613,75381,79744,64450,66693,44836,38197,33.2526783,126.4184383,서귀포시,3
제주특별자치도,서귀포시,천지연폭포,유료,내국인,1823177,104226,109602,125539,173086,212293,152106,155875,198340,169224,186212,132133,104541,33.246944,126.554417,서귀포시,3
제주특별자치도,서귀포시,천지연폭포,유료,외국인,166167,7759,9085,12184,14664,15740,16975,22985,18734,16047,15709,9232,7053,33.246944,126.554417,서귀포시,3
제주특별자치도,서귀포시,천지연폭포,유료,합계,1989344,111985,118687,137723,187750,228033,169081,178860,217074,185271,201921,141365,111594,33.246944,126.554417,서귀포시,3
제주특별자치도,서귀포시,한화아쿠아플라넷제주,유료,내국인,1194878,84301,84427,61839,92438,98573,100329,116726,147189,120178,119861,80957,88060,33.4327935,126.9279101,성산읍,4
제주특별자치도,서귀포시,한화아쿠아플라넷제주,유료,외국인,221937,7791,12500,14905,19109,19032,19459,41127,37744,14887,18259,8636,8488,33.4327935,126.9279101,성산읍,4
제주특별자치도,서귀포시,한화아쿠아플라넷제주,유료,합계,1416815,92092,96927,76744,111547,117605,119788,157853,184933,135065,138120,89593,96548,33.4327935,126.9279101,성산읍,4
